Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C0,1uf,Passive_0402_1005Metric,115.334761,-78.8,90.0,top
C1,100nF,Passive_0402_1005Metric,112.286761,-78.2285,90.0,top
C2,100nF,Passive_0402_1005Metric,115.588761,-91.0555,-90.0,top
C3,100nF,Passive_0402_1005Metric,113.302761,-78.2285,90.0,top
C4,100nF,Passive_0402_1005Metric,108.222761,-82.2925,180.0,top
C5,100nF,Passive_0402_1005Metric,107.673,-86.487,180.0,top
C6,100nF,Passive_0402_1005Metric,114.572761,-91.0555,-90.0,top
C7,100nF,Passive_0402_1005Metric,119.507,-86.614,0.0,top
C8,100nF,Passive_0402_1005Metric,118.763761,-81.3816,0.0,top
C9,100nF,Passive_0402_1005Metric,117.366761,-78.8,90.0,top
C10,1uf,Passive_0402_1005Metric,116.350761,-78.8,90.0,top
CF0,100nF,Passive_0402_1005Metric,116.485011,-70.6765,90.0,top
CP0,1uf,Passive_0402_1005Metric,121.0183,-78.869689,0.0,top
CP1,1uf,Passive_0402_1005Metric,124.0155,-82.349489,90.0,top
CX0,13pf,Passive_0402_1005Metric,115.207761,-93.0875,-90.0,top
CX1,13pf,Passive_0402_1005Metric,110.635761,-93.0875,-90.0,top
F0,6v 500ma,Fuse_0603_1608Metric,120.8151,-76.837689,-90.0,top
J0,USB,USB_C_Receptacle_HRO_TYPE-C-31-M-12,125.4125,-70.030489,180.0,top
RC0,5k1,Passive_0402_1005Metric,127.6477,-76.583689,-90.0,top
RC1,5k1,Passive_0402_1005Metric,123.1773,-76.583689,90.0,top
RD0,27.4,Passive_0402_1005Metric,125.095,-80.920739,-90.0,top
RD1,27.4,Passive_0402_1005Metric,126.111,-80.920739,-90.0,top
RF0,1k,Passive_0402_1005Metric,108.738011,-70.6765,-90.0,top
RR0,1k,Passive_0402_1005Metric,117.8814,-90.0176,180.0,top
RX0,1k,Passive_0402_1005Metric,113.556761,-91.0555,-90.0,top
S1,RESET,SW_SPST_B3U-1000P,119.0498,-93.345,180.0,top
U0,RP2040,RP2040,113.493261,-85.15,0.0,top
U1,LDO-3.3,SOT-23,121.7803,-81.358889,90.0,top
U2,W25Q128JVS,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,112.579761,-73.0895,0.0,top
U3,USBLC6-2SC6,SOT-23-6,125.4125,-77.701289,90.0,top
Y0,2TJ412000NYGBC 12MHz,Crystal_SMD_2520-4Pin_2.5x2.0mm,112.921761,-93.5955,0.0,top
