Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uf","Passive_0402_1005Metric",-91.643200,-87.477600,0.000000,bottom
"C2","1uf","Passive_0402_1005Metric",-85.445600,-95.808800,180.000000,bottom
"C3","100nF","Passive_0402_1005Metric",-92.811600,-91.744800,0.000000,bottom
"C4","100nF","Passive_0402_1005Metric",-80.721200,-91.490800,180.000000,bottom
"C5","100nF","Passive_0402_1005Metric",-80.721200,-87.884000,180.000000,bottom
"C6","100nF","Passive_0402_1005Metric",-81.305400,-84.401800,90.000000,bottom
"C7","100nF","Passive_0402_1005Metric",-82.346800,-84.401800,90.000000,bottom
"C8","100nF","Passive_0402_1005Metric",-85.394800,-84.401800,90.000000,bottom
"C9","100nF","Passive_0402_1005Metric",-86.410800,-84.401800,90.000000,bottom
"C10","1uf","Passive_0402_1005Metric",-87.452200,-84.401800,90.000000,bottom
"C11","100nF","Passive_0402_1005Metric",-83.870800,-96.342200,-90.000000,bottom
"CF1","100nF","Passive_0402_1005Metric",-82.118200,-79.019400,180.000000,bottom
"CP1","100nF","Passive_0402_1005Metric",-46.329600,-81.813400,0.000000,bottom
"CP2","10uF","Passive_0402_1005Metric",-46.355000,-86.436200,180.000000,bottom
"CX1","100nF","Passive_0402_1005Metric",-85.445600,-96.901000,180.000000,bottom
"CX2","100nF","Passive_0402_1005Metric",-87.680800,-96.901000,180.000000,bottom
"D1","1N4148W-T4","D_SOD-523",-35.718750,-83.343750,90.000000,bottom
"D2","1N4148W-T4","D_SOD-523",-54.768750,-83.343750,90.000000,bottom
"D3","1N4148W-T4","D_SOD-523",-73.818750,-83.343750,90.000000,bottom
"D4","1N4148W-T4","D_SOD-523",-92.868750,-83.343750,90.000000,bottom
"D5","1N4148W-T4","D_SOD-523",-111.918750,-83.343750,90.000000,bottom
"D6","1N4148W-T4","D_SOD-523",-130.968750,-83.343750,90.000000,bottom
"D7","1N4148W-T4","D_SOD-523",-150.018750,-83.343750,90.000000,bottom
"D8","1N4148W-T4","D_SOD-523",-169.068750,-83.343750,90.000000,bottom
"D9","1N4148W-T4","D_SOD-523",-188.118750,-83.343750,90.000000,bottom
"D10","1N4148W-T4","D_SOD-523",-207.168750,-83.343750,90.000000,bottom
"D11","1N4148W-T4","D_SOD-523",-226.218750,-83.343750,90.000000,bottom
"D12","1N4148W-T4","D_SOD-523",-245.268750,-83.343750,90.000000,bottom
"D13","1N4148W-T4","D_SOD-523",-264.318750,-83.343750,90.000000,bottom
"D14","1N4148W-T4","D_SOD-523",-283.368750,-83.343750,90.000000,bottom
"D15","1N4148W-T4","D_SOD-523",-302.418750,-83.343750,90.000000,bottom
"D16","1N4148W-T4","D_SOD-523",-321.468750,-83.343750,90.000000,bottom
"D17","1N4148W-T4","D_SOD-523",-35.718750,-102.393750,90.000000,bottom
"D18","1N4148W-T4","D_SOD-523",-54.768750,-102.393750,90.000000,bottom
"D19","1N4148W-T4","D_SOD-523",-73.818750,-102.393750,90.000000,bottom
"D20","1N4148W-T4","D_SOD-523",-92.868750,-102.393750,90.000000,bottom
"D21","1N4148W-T4","D_SOD-523",-111.918750,-102.393750,90.000000,bottom
"D22","1N4148W-T4","D_SOD-523",-130.968750,-102.393750,90.000000,bottom
"D23","1N4148W-T4","D_SOD-523",-150.018750,-102.393750,90.000000,bottom
"D24","1N4148W-T4","D_SOD-523",-169.068750,-102.393750,90.000000,bottom
"D25","1N4148W-T4","D_SOD-523",-188.118750,-102.331250,90.000000,bottom
"D26","1N4148W-T4","D_SOD-523",-207.168750,-102.406250,90.000000,bottom
"D27","1N4148W-T4","D_SOD-523",-226.218750,-102.393750,90.000000,bottom
"D28","1N4148W-T4","D_SOD-523",-245.268750,-102.393750,90.000000,bottom
"D29","1N4148W-T4","D_SOD-523",-264.318750,-102.393750,90.000000,bottom
"D30","1N4148W-T4","D_SOD-523",-283.368750,-102.393750,90.000000,bottom
"D31","1N4148W-T4","D_SOD-523",-302.418750,-102.393750,90.000000,bottom
"D32","1N4148W-T4","D_SOD-523",-321.468750,-102.393750,90.000000,bottom
"D33","1N4148W-T4","D_SOD-523",-35.718750,-121.443750,90.000000,bottom
"D34","1N4148W-T4","D_SOD-523",-54.768750,-121.443750,90.000000,bottom
"D35","1N4148W-T4","D_SOD-523",-73.818750,-121.443750,90.000000,bottom
"D36","1N4148W-T4","D_SOD-523",-92.868750,-121.443750,90.000000,bottom
