Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0402_1005Metric",155.124000,-80.023251,0.000000,top
"C2","100nF","C_0402_1005Metric",154.324000,-81.423250,0.000000,top
"C3","100nF","C_0402_1005Metric",144.924000,-80.223251,180.000000,top
"C4","100nF","C_0402_1005Metric",145.524000,-71.423250,180.000000,top
"C5","100nF","C_0402_1005Metric",156.324000,-74.823250,0.000000,top
"C6","10uF","C_0402_1005Metric",134.270250,-81.398000,90.000000,top
"C7","100nF","C_0402_1005Metric",131.270250,-79.798000,180.000000,top
"C8","100nF","C_0402_1005Metric",159.543750,-75.406250,90.000000,top
"D1","SOD-523","D_SOD-523",128.524000,-86.614000,270.000000,top
"D2","SOD-523","D_SOD-523",133.604000,-86.614000,270.000000,top
"D3","SOD-523","D_SOD-523",138.684000,-86.614000,270.000000,top
"D4","SOD-523","D_SOD-523",143.764000,-86.614000,270.000000,top
"D5","SOD-523","D_SOD-523",148.844000,-86.614000,270.000000,top
"D6","SOD-523","D_SOD-523",153.924000,-86.614000,270.000000,top
"D7","SOD-523","D_SOD-523",159.004000,-86.614000,270.000000,top
"D8","SOD-523","D_SOD-523",164.084000,-86.614000,270.000000,top
"D9","SOD-523","D_SOD-523",169.164000,-86.614000,270.000000,top
"D10","SOD-523","D_SOD-523",174.244000,-86.614000,270.000000,top
"D11","SOD-523","D_SOD-523",179.324000,-86.614000,270.000000,top
"D12","SOD-523","D_SOD-523",184.404000,-86.614000,270.000000,top
"D13","SOD-523","D_SOD-523",189.484000,-86.614000,270.000000,top
"D14","SOD-523","D_SOD-523",194.564000,-86.614000,270.000000,top
"D15","SOD-523","D_SOD-523",199.644000,-86.614000,270.000000,top
"D16","SOD-523","D_SOD-523",204.724000,-86.614000,270.000000,top
"D17","SOD-523","D_SOD-523",128.524000,-94.996000,270.000000,top
"D18","SOD-523","D_SOD-523",133.604000,-94.996000,270.000000,top
"D19","SOD-523","D_SOD-523",138.684000,-94.996000,270.000000,top
"D20","SOD-523","D_SOD-523",143.764000,-94.996000,270.000000,top
"D21","SOD-523","D_SOD-523",148.844000,-94.996000,270.000000,top
"D22","SOD-523","D_SOD-523",153.924000,-94.996000,270.000000,top
"D23","SOD-523","D_SOD-523",159.004000,-94.996000,270.000000,top
"D24","SOD-523","D_SOD-523",164.084000,-94.996000,270.000000,top
"D25","SOD-523","D_SOD-523",169.164000,-94.996000,270.000000,top
"D26","SOD-523","D_SOD-523",174.244000,-94.996000,270.000000,top
"D27","SOD-523","D_SOD-523",179.324000,-94.996000,270.000000,top
"D28","SOD-523","D_SOD-523",184.404000,-94.996000,270.000000,top
"D29","SOD-523","D_SOD-523",189.484000,-94.996000,270.000000,top
"D30","SOD-523","D_SOD-523",194.564000,-94.996000,270.000000,top
"D31","SOD-523","D_SOD-523",199.644000,-94.996000,270.000000,top
"D32","SOD-523","D_SOD-523",204.724000,-94.996000,270.000000,top
"D33","SOD-523","D_SOD-523",128.524000,-103.378000,270.000000,top
"D34","SOD-523","D_SOD-523",133.604000,-103.378000,270.000000,top
"D35","SOD-523","D_SOD-523",138.684000,-103.378000,270.000000,top
"D36","SOD-523","D_SOD-523",143.764000,-103.378000,270.000000,top
"D37","SOD-523","D_SOD-523",148.844000,-103.378000,270.000000,top
"D38","SOD-523","D_SOD-523",153.924000,-103.378000,270.000000,top
"D39","SOD-523","D_SOD-523",159.004000,-103.378000,270.000000,top
"D40","SOD-523","D_SOD-523",164.084000,-103.378000,270.000000,top
"D41","SOD-523","D_SOD-523",169.164000,-103.378000,270.000000,top
"D42","SOD-523","D_SOD-523",174.244000,-103.378000,270.000000,top
"D43","SOD-523","D_SOD-523",179.324000,-103.378000,270.000000,top
"D44","SOD-523","D_SOD-523",184.404000,-103.378000,270.000000,top
"D45","SOD-523","D_SOD-523",189.484000,-103.378000,270.000000,top
"D46","SOD-523","D_SOD-523",194.564000,-103.378000,270.000000,top
"D47","SOD-523","D_SOD-523",199.644000,-103.378000,270.000000,top
"D48","SOD-523","D_SOD-523",204.724000,-103.378000,270.000000,top
"D49","SOD-523","D_SOD-523",128.524000,-111.760000,270.000000,top
"D50","SOD-523","D_SOD-523",133.604000,-111.760000,270.000000,top
"D51","SOD-523","D_SOD-523",138.684000,-111.760000,270.000000,top
"D52","SOD-523","D_SOD-523",143.764000,-111.760000,270.000000,top
"D53","SOD-523","D_SOD-523",148.844000,-111.760000,270.000000,top
"D54","SOD-523","D_SOD-523",153.924000,-111.760000,270.000000,top
"D55","SOD-523","D_SOD-523",159.004000,-111.760000,270.000000,top
"D56","SOD-523","D_SOD-523",164.084000,-111.760000,270.000000,top
"D57","SOD-523","D_SOD-523",169.164000,-111.760000,270.000000,top
"D58","SOD-523","D_SOD-523",174.244000,-111.760000,270.000000,top
"D59","SOD-523","D_SOD-523",179.324000,-111.760000,270.000000,top
"D60","SOD-523","D_SOD-523",184.404000,-111.760000,270.000000,top
"D61","SOD-523","D_SOD-523",189.484000,-111.760000,270.000000,top
"D62","SOD-523","D_SOD-523",194.564000,-111.760000,270.000000,top
