Comment,Designator,Footprint,LCSC
RESET,"S1,S2",SW_SPST_SKQG_WithoutStem,C115351
100nF,"C2,C3,C4,C5,C6,C8,C9",Passive_0402_1005Metric,C1525
0.012nF,"CL1,CL2",Passive_0402_1005Metric,C1547
10uF,C7,Passive_0402_1005Metric,C15525
USB,J0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
6v 500ma,F0,Fuse_0603_1608Metric,C207011
4.7uF,"C1,CV1",Passive_0402_1005Metric,C23733
100k,"RB1,RB2",Passive_0402_1005Metric,C25086
270,"RL1,RL2,RL3",Passive_0402_1005Metric,C25099
10k,R1,Passive_0402_1005Metric,C25744
5k1,"R2,R3",Passive_0402_1005Metric,C25905
SOD-523,"D1,D10,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D12,D120,D121,D122,D123,D124,D125,D126,D127,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99,DR1,DT1,DT2,DT3,DT4",D_SOD-523,C2802290
8MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C479192
LDO-3.3,U1,SOT-23,C83932
STM32F411RETx,U0,LQFP-64_10x10mm_P0.5mm,C915971
