Ref,Val,Package,PosX,PosY,Rot,Side
"K1","Keyswitch","MX-Choc",43.656250,-76.200000,0.000000,top
"K2","Keyswitch","MX-Choc",62.706250,-76.200000,0.000000,top
"K3","Keyswitch","MX-Choc",91.281250,-76.200000,0.000000,top
"K4","Keyswitch","MX-Choc",110.331250,-76.200000,0.000000,top
"K5","Keyswitch","MX-Choc",129.381250,-76.200000,0.000000,top
"K6","Keyswitch","MX-Choc",148.431250,-76.200000,0.000000,top
"K7","Keyswitch","MX-Choc",167.481250,-76.200000,0.000000,top
"K8","Keyswitch","MX-Choc",186.531250,-76.200000,0.000000,top
"K9","Keyswitch","MX-Choc",205.581250,-76.200000,0.000000,top
"K10","Keyswitch","MX-Choc",224.631250,-76.200000,0.000000,top
"K11","Keyswitch","MX-Choc",43.656250,-95.250000,0.000000,top
"K12","Keyswitch","MX-Choc",62.706250,-95.250000,0.000000,top
"K13","Keyswitch","MX-Choc",91.186000,-95.250000,0.000000,top
"K14","Keyswitch","MX-Choc",110.331250,-95.250000,0.000000,top
"K15","Keyswitch","MX-Choc",129.381250,-95.250000,0.000000,top
"K16","Keyswitch","MX-Choc",148.431250,-95.250000,0.000000,top
"K17","Keyswitch","MX-Choc",167.481250,-95.250000,0.000000,top
"K18","Keyswitch","MX-Choc",186.531250,-95.250000,0.000000,top
"K19","Keyswitch","MX-Choc",205.581250,-95.250000,0.000000,top
"K20","Keyswitch","MX-Choc",224.631250,-95.250000,0.000000,top
"K21","Keyswitch","MX-Choc",243.681250,-95.250000,0.000000,top
"K22","Keyswitch","MX-Choc",262.731250,-95.250000,0.000000,top
"K23","Keyswitch","MX-Choc",281.781250,-95.250000,0.000000,top
"K24","Keyswitch","MX-Choc",300.831250,-95.250000,0.000000,top
"K25","Keyswitch","MX-Choc",319.881250,-95.250000,0.000000,top
"K26","Keyswitch","MX-Choc",338.931250,-95.250000,0.000000,top
"K27","Keyswitch","MX-Choc",357.981250,-95.250000,0.000000,top
"K28","Keyswitch","MX-Choc",377.031250,-95.250000,0.000000,top
"K29","Keyswitch","MX-Choc",43.656250,-123.825000,0.000000,top
"K30","Keyswitch","MX-Choc",62.706250,-123.825000,0.000000,top
"K31","Keyswitch","MX-Choc",91.281250,-123.825000,0.000000,top
"K32","Keyswitch","MX-Choc",110.331250,-123.825000,0.000000,top
"K33","Keyswitch","MX-Choc",129.381250,-123.825000,0.000000,top
"K34","Keyswitch","MX-Choc",148.431250,-123.825000,0.000000,top
"K35","Keyswitch","MX-Choc",167.481250,-123.825000,0.000000,top
"K36","Keyswitch","MX-Choc",186.531250,-123.825000,0.000000,top
"K37","Keyswitch","MX-Choc",205.581250,-123.825000,0.000000,top
"K38","Keyswitch","MX-Choc",224.631250,-123.825000,0.000000,top
"K39","Keyswitch","MX-Choc",243.681250,-123.825000,0.000000,top
"K40","Keyswitch","MX-Choc",262.731250,-123.825000,0.000000,top
"K41","Keyswitch","MX-Choc",281.781250,-123.825000,0.000000,top
"K42","Keyswitch","MX-Choc",300.831250,-123.825000,0.000000,top
"K43","Keyswitch","MX-Choc",319.881250,-123.825000,0.000000,top
"K44","Keyswitch","MX-Choc",338.931250,-123.825000,0.000000,top
"K45","Keyswitch","MX-Choc",357.981250,-123.825000,0.000000,top
"K46","Keyswitch","MX-Choc",377.031250,-123.825000,0.000000,top
"K47","Keyswitch","MX-Choc",43.656250,-142.875000,0.000000,top
"K48","Keyswitch","MX-Choc",62.706250,-142.875000,0.000000,top
"K49","Keyswitch","MX-Choc",91.281250,-142.875000,0.000000,top
"K50","Keyswitch","MX-Choc",110.331250,-142.875000,0.000000,top
"K51","Keyswitch","MX-Choc",129.381250,-142.875000,0.000000,top
"K52","Keyswitch","MX-Choc",148.431250,-142.875000,0.000000,top
"K53","Keyswitch","MX-Choc",167.481250,-142.875000,0.000000,top
"K54","Keyswitch","MX-Choc",186.531250,-142.875000,0.000000,top
"K55","Keyswitch","MX-Choc",205.581250,-142.875000,0.000000,top
"K56","Keyswitch","MX-Choc",224.631250,-142.875000,0.000000,top
"K57","Keyswitch","MX-Choc",243.681250,-142.875000,0.000000,top
"K58","Keyswitch","MX-Choc",262.731250,-142.875000,0.000000,top
"K59","Keyswitch","MX-Choc",281.781250,-142.875000,0.000000,top
"K60","Keyswitch","MX-Choc",300.831250,-142.875000,0.000000,top
"K61","Keyswitch","MX-Choc",319.881250,-142.875000,0.000000,top
"K62","Keyswitch","MX-Choc",338.931250,-142.875000,0.000000,top
"K63","Keyswitch","MX-Choc",357.981250,-142.875000,0.000000,top
"K64","Keyswitch","MX-Choc",377.031250,-142.875000,0.000000,top
"K65","Keyswitch","MX-Choc",43.656250,-161.925000,0.000000,top
"K66","Keyswitch","MX-Choc",62.706250,-161.925000,0.000000,top
"K67","Keyswitch","MX-Choc",91.281250,-161.925000,0.000000,top
"K68","Keyswitch","MX-Choc",110.331250,-161.925000,0.000000,top
"K69","Keyswitch","MX-Choc",129.381250,-161.925000,0.000000,top
"K70","Keyswitch","MX-Choc",148.431250,-161.925000,0.000000,top
"K71","Keyswitch","MX-Choc",167.481250,-161.925000,0.000000,top
"K72","Keyswitch","MX-Choc",186.531250,-161.925000,0.000000,top
"K73","Keyswitch","MX-Choc",205.581250,-161.925000,0.000000,top
"K74","Keyswitch","MX-Choc",224.631250,-161.925000,0.000000,top
"K75","Keyswitch","MX-Choc",243.681250,-161.925000,0.000000,top
"K76","Keyswitch","MX-Choc",262.731250,-161.925000,0.000000,top
"K77","Keyswitch","MX-Choc",281.781250,-161.925000,0.000000,top
"K78","Keyswitch","MX-Choc",300.831250,-161.925000,0.000000,top
"K79","Keyswitch","MX-Choc",319.881250,-161.925000,0.000000,top
"K80","Keyswitch","MX-Choc",338.931250,-161.925000,0.000000,top
"K81","Keyswitch","MX-Choc",357.981250,-161.925000,0.000000,top
"K82","Keyswitch","MX-Choc",377.031250,-161.925000,0.000000,top
"K83","Keyswitch","MX-Choc",43.656250,-180.975000,0.000000,top
"K84","Keyswitch","MX-Choc",62.706250,-180.975000,0.000000,top
"K85","Keyswitch","MX-Choc",91.281250,-180.975000,0.000000,top
"K86","Keyswitch","MX-Choc",110.331250,-180.975000,0.000000,top
"K87","Keyswitch","MX-Choc",129.381250,-180.975000,0.000000,top
"K88","Keyswitch","MX-Choc",148.431250,-180.975000,0.000000,top
"K89","Keyswitch","MX-Choc",167.481250,-180.975000,0.000000,top
"K90","Keyswitch","MX-Choc",186.531250,-180.975000,0.000000,top
"K91","Keyswitch","MX-Choc",205.581250,-180.975000,0.000000,top
"K92","Keyswitch","MX-Choc",224.631250,-180.975000,0.000000,top
"K93","Keyswitch","MX-Choc",243.681250,-180.975000,0.000000,top
"K94","Keyswitch","MX-Choc",262.731250,-180.975000,0.000000,top
"K95","Keyswitch","MX-Choc",281.781250,-180.975000,0.000000,top
"K96","Keyswitch","MX-Choc",300.831250,-180.975000,0.000000,top
"K97","Keyswitch","MX-Choc",319.881250,-180.975000,0.000000,top
