Comment,Designator,Footprint,LCSC
"4.7uF","C1","EDI:Passive_0402_1005Metric","C23733"
"100nF","C2,C3,C4,C5,C7,C8","EDI:Passive_0402_1005Metric","C1525"
"10uF","C6","EDI:Passive_0402_1005Metric","C15525"
"1N4148","D1,DG1,D2,DG2,D3,DG3,D4,DG4,D5,DG5,D6,DG6,D7,DG7,D8,DG8,D9,DG9,D10,DG10,D11,D12,D13,D14,D15","EDI:D_SOD-523","C507292"
"6v 500ma","F0","Fuse:Fuse_0603_1608Metric_Castellated","C207011"
"Mount","H1,H2,H3,H4","MountingHole:MountingHole_2.2mm_M2_Pad",""
"USB","J0","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","C165948"
"Main Drive","J1","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","C314698"
"GripLink","J2","Connector_JST:JST_PHD_B18B-PHDSS_2x09_P2.00mm_Vertical",""
"BaseLink","J3","Connector_JST:JST_PHD_B18B-PHDSS_2x09_P2.00mm_Vertical",""
"R/T Tuning","J4","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"Display","J5","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"Sensor Radius","J6","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"Subtarget Select","J7","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"Thumbstick","J8","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"OmniSwitch","K1,KG1,K2,KG2,K3,KG3,K4,K5,K6,KG6,K7,KG7,K8,KG8,K9,K10,K11,K12","EDI:OmniSwitch-1U",""
"OmniSwitch","KG4,KG5,KG9,KG10,K13,K14,K15","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"10k","R1","EDI:Passive_0402_1005Metric","C25744"
"5k1","R2,R3","EDI:Passive_0402_1005Metric","C25905"
"2k2","R4,R5","EDI:Passive_0402_1005Metric","C25879"
"RESET","S1","Button_Switch_SMD:SW_SPST_SKQG_WithoutStem","C116647"
"LDR","S2","Button_Switch_SMD:SW_SPST_SKQG_WithoutStem","C116647"
"Speaker_Crystal","TX0,TX1","Buzzer_Beeper:Buzzer_CUI_CPT-9019S-SMT","C968734"
"STM32F072CxT6","U0","Package_QFP:LQFP-48_7x7mm_P0.5mm","C81720"
"LDO-3.3","U1","Package_TO_SOT_SMD:SOT-23","C83932"
"EDI Logo","Z0","EDI:EDILogo",""
"Mission Statement","Z1","EDI:mission_statement",""
"DF Logo","Z2","EDI:DF",""
