Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, CP0, CP1",Passive_0402_1005Metric,4,1uf,C52923
"C10, C2, C3, C4, C5, C6, C7, C8, C9, CF1, LC1, LC10, LC11, LC12, LC13, LC14, LC15, LC16, LC17, LC18, LC19, LC2, LC20, LC21, LC22, LC23, LC24, LC25, LC26, LC27, LC28, LC29, LC3, LC30, LC31, LC32, LC4, LC5, LC6, LC7, LC8, LC9",Passive_0402_1005Metric,42,100nF,C1525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D7, D8, D9",D_SOD-523,64,1N4148W-T4,C68948
F0,Fuse_0402_1005Metric,1,6v 500ma,C206938
"H1, H2, H3, H4, H5, H6, H7, H8",MountingHole_3.2mm_M3,8,Mount,
J0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB,C167321
J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,qwiic,C145956
J2,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,SPI Connector,C239524
"K1, K10, K11, K12, K13, K14, K15, K16, K17, K18, K19, K2, K20, K21, K22, K23, K24, K25, K26, K27, K28, K29, K3, K30, K31, K32, K33, K34, K35, K36, K37, K38, K39, K4, K40, K41, K42, K43, K44, K45, K46, K47, K48, K49, K5, K50, K51, K52, K53, K54, K54.1, K55, K56, K57, K58, K58.1, K59, K6, K60, K61, K62, K63, K64, K7, K8, K9",SW_MX,66,Keyswitch,
"LD1, LD10, LD11, LD12, LD13, LD14, LD15, LD16, LD17, LD18, LD19, LD2, LD20, LD21, LD22, LD23, LD24, LD25, LD26, LD27, LD28, LD29, LD3, LD30, LD31, LD32, LD4, LD5, LD6, LD7, LD8, LD9",WS2812B_2020,32,WS2812C,C2976072
"RC1, RC2",Passive_0402_1005Metric,2,5k1,C25905
"RD0, RD1",Passive_0402_1005Metric,2,27.4,C172043
"RF2, RR1, RX1",Passive_0402_1005Metric,3,1k,C25905
S1,SW_SPST_SKQG_WithoutStem,1,RESET,C139779
TP0,TestPoint_Pad_1.0x1.0mm,1,Pin 22,
"TX0, TX1",Buzzer_CUI_CPT-9019S-SMT,2,Transducer,C391035
U0,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm_ThermalVias,1,RP2040,C2040
U1,SOT-23,1,LDO-3.3,C83932
U2,SOT-23-6,1,USBLC6-2SC6,C2827654
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVS,C190862
Y0,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,CSTCE12M0G55-R0,C91581
Z0,hlmk7,1,EDI Logo,
