Comment,Designator,Footprint,LCSC
100nF,"C1,C2,C3,C4,C5,C6,C7,C8,C9,CF0",Passive_0402_1005Metric,C1525
USB,J0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C167321
27.4,"RD0,RD1",Passive_0402_1005Metric,C172043
W25Q128JVS,U2,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C190862
RP2040,U0,RP2040,C2040
6v 500ma,F0,Fuse_0603_1608Metric,C207011
2TJ412000NYGBC 12MHz,Y0,Crystal_SMD_2520-4Pin_2.5x2.0mm,C2149205
RESET,S1,SW_SPST_B3U-1000P,C231329
5k1,"RC0,RC1,RF0,RR0,RX0",Passive_0402_1005Metric,C25905
USBLC6-2SC6,U3,SOT-23-6,C2827654
13pf,"CX0,CX1",Passive_0402_1005Metric,C48936
1uf,"C0,C10,CP0,CP1",Passive_0402_1005Metric,C52923
LDO-3.3,U1,SOT-23,C83932
