Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uf,Passive_0402_1005Metric,83.693,-84.455,90.0,bottom
C2,100nF,Passive_0402_1005Metric,84.836,-96.266,270.0,bottom
C3,100nF,Passive_0402_1005Metric,92.21875,-91.7125,180.0,bottom
C4,100nF,Passive_0402_1005Metric,80.10375,-91.8375,0.0,bottom
C5,100nF,Passive_0402_1005Metric,81.26875,-87.503,0.0,bottom
C6,100nF,Passive_0402_1005Metric,91.56875,-86.9875,90.0,bottom
C7,100nF,Passive_0402_1005Metric,82.677,-84.455,90.0,bottom
C8,100nF,Passive_0402_1005Metric,86.36875,-84.4525,90.0,bottom
C9,100nF,Passive_0402_1005Metric,87.38475,-84.4525,90.0,bottom
C10,100nF,Passive_0402_1005Metric,83.693,-96.266,270.0,bottom
C11,1uf,Passive_0402_1005Metric,84.709,-84.455,90.0,bottom
CF1,100nF,Passive_0402_1005Metric,82.92675,-73.217,90.0,bottom
CP1,100nF,Passive_0402_1005Metric,48.36875,-94.1375,180.0,bottom
CP2,22uf,Passive_0402_1005Metric,47.45375,-89.3375,180.0,bottom
CP3,22uf,Passive_0402_1005Metric,47.45375,-88.2375,180.0,bottom
CP4,22uf,Passive_0402_1005Metric,47.45375,-87.1375,180.0,bottom
CP5,22uf,Passive_0402_1005Metric,47.45375,-86.0375,180.0,bottom
CP6,22uf,Passive_0402_1005Metric,49.48375,-102.2375,180.0,bottom
CP7,22uf,Passive_0402_1005Metric,49.48375,-101.1375,180.0,bottom
CP8,22uf,Passive_0402_1005Metric,49.48375,-100.0375,180.0,bottom
CP9,22uf,Passive_0402_1005Metric,47.48375,-103.3375,0.0,bottom
CP10,22uf,Passive_0402_1005Metric,49.45375,-87.1375,0.0,bottom
CP11,22uf,Passive_0402_1005Metric,49.45375,-86.0375,0.0,bottom
CP12,22uf,Passive_0402_1005Metric,49.45375,-88.2375,0.0,bottom
CP13,22uf,Passive_0402_1005Metric,49.45375,-89.3375,0.0,bottom
CP14,22uf,Passive_0402_1005Metric,49.48375,-103.3375,180.0,bottom
CP15,22uf,Passive_0402_1005Metric,47.48375,-100.0375,0.0,bottom
CP16,22uf,Passive_0402_1005Metric,47.48375,-102.2375,0.0,bottom
CP17,22uf,Passive_0402_1005Metric,47.48375,-101.1375,0.0,bottom
D1,1N4148W-T4,D_SOD-523,40.91875,-87.5875,90.0,bottom
D2,1N4148W-T4,D_SOD-523,59.91875,-87.7375,90.0,bottom
D3,1N4148W-T4,D_SOD-523,79.06875,-87.6875,90.0,bottom
D4,1N4148W-T4,D_SOD-523,98.31875,-87.5875,90.0,bottom
D5,1N4148W-T4,D_SOD-523,117.36875,-87.5875,90.0,bottom
D6,1N4148W-T4,D_SOD-523,136.41875,-87.5875,90.0,bottom
D7,1N4148W-T4,D_SOD-523,155.46875,-87.5875,90.0,bottom
D8,1N4148W-T4,D_SOD-523,174.51875,-87.5875,90.0,bottom
D9,1N4148W-T4,D_SOD-523,193.56875,-87.5875,90.0,bottom
D10,1N4148W-T4,D_SOD-523,212.61875,-87.5875,90.0,bottom
D11,1N4148W-T4,D_SOD-523,231.66875,-87.5875,90.0,bottom
D12,1N4148W-T4,D_SOD-523,250.71875,-87.5875,90.0,bottom
D13,1N4148W-T4,D_SOD-523,269.76875,-87.5875,90.0,bottom
D14,1N4148W-T4,D_SOD-523,288.81875,-87.5875,90.0,bottom
D15,1N4148W-T4,D_SOD-523,307.86875,-87.5875,90.0,bottom
D16,1N4148W-T4,D_SOD-523,326.91875,-87.5875,90.0,bottom
D17,1N4148W-T4,D_SOD-523,40.91875,-106.6375,90.0,bottom
D18,1N4148W-T4,D_SOD-523,60.21875,-106.6375,90.0,bottom
D19,1N4148W-T4,D_SOD-523,79.26875,-106.6375,90.0,bottom
D20,1N4148W-T4,D_SOD-523,98.31875,-106.6375,90.0,bottom
D21,1N4148W-T4,D_SOD-523,117.36875,-106.6375,90.0,bottom
D22,1N4148W-T4,D_SOD-523,136.41875,-106.6375,90.0,bottom
D23,1N4148W-T4,D_SOD-523,155.46875,-106.6375,90.0,bottom
D24,1N4148W-T4,D_SOD-523,174.51875,-106.6375,90.0,bottom
