Comment,Designator,Footprint,LCSC
100nF,"C11,C3,C4,C5,C6,C7,C8,C9,CF1,CP1,CX1,CX2",Passive_0402_1005Metric,C1525
10uF,CP2,Passive_0402_1005Metric,C15525
USB,J0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C167321
RP2040,U0,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm_ThermalVias,C2040
6v 500ma,F0,Fuse_0603_1608Metric_Castellated,C207011
10uf,C1,Passive_0402_1005Metric,C23733
5k1,"RC1,RC2,RF1,RL1,RR1,RX1",Passive_0402_1005Metric,C25905
USBLC6-2SC6,U2,SOT-23-6,C2827654
100nF,"LC1,LC10,LC11,LC12,LC13,LC14,LC15,LC16,LC17,LC18,LC19,LC2,LC20,LC21,LC22,LC23,LC24,LC25,LC26,LC27,LC28,LC29,LC3,LC30,LC31,LC32,LC4,LC5,LC6,LC7,LC8,LC9",Passive_0402_1005Metric,C307331
RESET,"S1,S2",SW_EVPBB4A9B000,C358621
Transducer,"TX0,TX1",Buzzer_CUI_CPT-9019S-SMT,C391035
27,"RD0,RD1",Passive_0402_1005Metric,C413051 
1uf,"C10,C2",Passive_0402_1005Metric,C52923
1N4148W-T4,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D7,D8,D9",D_SOD-523,C68948
LDO-3.3,U1,SOT-23,C83932
12MHz,Y0,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
WS2812C-2020,"LD1,LD10,LD11,LD12,LD13,LD14,LD15,LD16,LD17,LD18,LD19,LD2,LD20,LD21,LD22,LD23,LD24,LD25,LD26,LD27,LD28,LD29,LD3,LD30,LD31,LD32,LD4,LD5,LD6,LD7,LD8,LD9",WS2812B_2020,C965555
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521
Keyswitch,K2,MX-Choc,
Keyswitch,K3,MX-Choc,
Keyswitch,K6,MX-Choc,
Keyswitch,K7,MX-Choc,
Keyswitch,K8,MX-Choc,
Keyswitch,K9,MX-Choc,
Keyswitch,K10,MX-Choc,
Keyswitch,K11,MX-Choc,
Keyswitch,K12,MX-Choc,
Keyswitch,K13,MX-Choc,
Keyswitch,K14,MX-Choc,
Keyswitch,K15,MX-Choc,
Keyswitch,K16,MX-Choc,
Keyswitch,K17,MX-Choc,
Keyswitch,K18,MX-Choc,
Keyswitch,K19,MX-Choc,
Keyswitch,K22,MX-Choc,
Keyswitch,K23,MX-Choc,
Keyswitch,K24,MX-Choc,
Keyswitch,K25,MX-Choc,
Keyswitch,K26,MX-Choc,
Keyswitch,K27,MX-Choc,
Keyswitch,K28,MX-Choc,
Keyswitch,K29,MX-Choc,
Keyswitch,K30,MX-Choc,
Keyswitch,K31,MX-Choc,
Keyswitch,K32,MX-Choc,
Keyswitch,K33,MX-Choc,
Keyswitch,K34,MX-Choc,
Keyswitch,K35,MX-Choc,
Keyswitch,K36,MX-Choc,
Keyswitch,K37,MX-Choc,
Keyswitch,K38,MX-Choc,
Keyswitch,K39,MX-Choc,
Keyswitch,K40,MX-Choc,
Keyswitch,K41,MX-Choc,
Keyswitch,K42,MX-Choc,
Keyswitch,K43,MX-Choc,
Keyswitch,K44,MX-Choc,
Keyswitch,K45,MX-Choc,
Keyswitch,K46,MX-Choc,
Keyswitch,K47,MX-Choc,
Keyswitch,K48,MX-Choc,
Keyswitch,K49,MX-Choc,
Keyswitch,K50,MX-Choc,
Keyswitch,K51,MX-Choc,
Keyswitch,K52,MX-Choc,
Keyswitch,K53,MX-Choc,
Keyswitch,K54,MX-Choc-Double,
Keyswitch,K55,MX-Choc,
Keyswitch,K56,MX-Choc,
Keyswitch,K57,MX-Choc,
Keyswitch,K58,MX-Choc-Double,
Keyswitch,K59,MX-Choc,
Keyswitch,K60,MX-Choc,
Keyswitch,K61,MX-Choc,
Keyswitch,K62,MX-Choc,
Keyswitch,K63,MX-Choc,
Keyswitch,K64,MX-Choc,
Keyswitch,K1,MX-Choc,
Mount,H1,SolderableHole,
Mount,H2,SolderableHole,
Mount,H3,SolderableHole,
Mount,H4,SolderableHole,
Mount,H5,SolderableHole,
Mount,H6,SolderableHole,
Keyswitch,K4,MX-Choc,
Keyswitch,K5,MX-Choc,
Keyswitch,K21,MX-Choc,
Keyswitch,K20,MX-Choc,
EDI Logo,Z0,HL2040,
