Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf,Passive_0402_1005Metric,91.6432,-87.4776,0.0,bottom
C2,1uf,Passive_0402_1005Metric,85.4456,-95.8088,180.0,bottom
C3,100nF,Passive_0402_1005Metric,92.8116,-91.7448,0.0,bottom
C4,100nF,Passive_0402_1005Metric,80.7212,-91.4908,180.0,bottom
C5,100nF,Passive_0402_1005Metric,80.7212,-87.884,180.0,bottom
C6,100nF,Passive_0402_1005Metric,81.3054,-84.4018,90.0,bottom
C7,100nF,Passive_0402_1005Metric,82.3468,-84.4018,90.0,bottom
C8,100nF,Passive_0402_1005Metric,85.3948,-84.4018,90.0,bottom
C9,100nF,Passive_0402_1005Metric,86.4108,-84.4018,90.0,bottom
C10,1uf,Passive_0402_1005Metric,87.4522,-84.4018,90.0,bottom
C11,100nF,Passive_0402_1005Metric,83.8708,-96.3422,-90.0,bottom
CF1,100nF,Passive_0402_1005Metric,82.1182,-79.0194,180.0,bottom
CP1,100nF,Passive_0402_1005Metric,46.3296,-81.8134,0.0,bottom
CP2,10uF,Passive_0402_1005Metric,46.355,-86.4362,180.0,bottom
CX1,100nF,Passive_0402_1005Metric,85.4456,-96.901,180.0,bottom
CX2,100nF,Passive_0402_1005Metric,87.6808,-96.901,180.0,bottom
D1,1N4148W-T4,D_SOD-523,35.71875,-83.34375,90.0,bottom
D2,1N4148W-T4,D_SOD-523,54.76875,-83.34375,90.0,bottom
D3,1N4148W-T4,D_SOD-523,73.81875,-83.34375,90.0,bottom
D4,1N4148W-T4,D_SOD-523,92.86875,-83.34375,90.0,bottom
D5,1N4148W-T4,D_SOD-523,111.91875,-83.34375,90.0,bottom
D6,1N4148W-T4,D_SOD-523,130.96875,-83.34375,90.0,bottom
D7,1N4148W-T4,D_SOD-523,150.01875,-83.34375,90.0,bottom
D8,1N4148W-T4,D_SOD-523,169.06875,-83.34375,90.0,bottom
D9,1N4148W-T4,D_SOD-523,188.11875,-83.34375,90.0,bottom
D10,1N4148W-T4,D_SOD-523,207.16875,-83.34375,90.0,bottom
D11,1N4148W-T4,D_SOD-523,226.21875,-83.34375,90.0,bottom
D12,1N4148W-T4,D_SOD-523,245.26875,-83.34375,90.0,bottom
D13,1N4148W-T4,D_SOD-523,264.31875,-83.34375,90.0,bottom
D14,1N4148W-T4,D_SOD-523,283.36875,-83.34375,90.0,bottom
D15,1N4148W-T4,D_SOD-523,302.41875,-83.34375,90.0,bottom
D16,1N4148W-T4,D_SOD-523,321.46875,-83.34375,90.0,bottom
D17,1N4148W-T4,D_SOD-523,35.71875,-102.39375,90.0,bottom
D18,1N4148W-T4,D_SOD-523,54.76875,-102.39375,90.0,bottom
D19,1N4148W-T4,D_SOD-523,73.81875,-102.39375,90.0,bottom
D20,1N4148W-T4,D_SOD-523,92.86875,-102.39375,90.0,bottom
D21,1N4148W-T4,D_SOD-523,111.91875,-102.39375,90.0,bottom
D22,1N4148W-T4,D_SOD-523,130.96875,-102.39375,90.0,bottom
D23,1N4148W-T4,D_SOD-523,150.01875,-102.39375,90.0,bottom
D24,1N4148W-T4,D_SOD-523,169.06875,-102.39375,90.0,bottom
D25,1N4148W-T4,D_SOD-523,188.11875,-102.33125,90.0,bottom
D26,1N4148W-T4,D_SOD-523,207.16875,-102.40625,90.0,bottom
D27,1N4148W-T4,D_SOD-523,226.21875,-102.39375,90.0,bottom
D28,1N4148W-T4,D_SOD-523,245.26875,-102.39375,90.0,bottom
D29,1N4148W-T4,D_SOD-523,264.31875,-102.39375,90.0,bottom
D30,1N4148W-T4,D_SOD-523,283.36875,-102.39375,90.0,bottom
D31,1N4148W-T4,D_SOD-523,302.41875,-102.39375,90.0,bottom
D32,1N4148W-T4,D_SOD-523,321.46875,-102.39375,90.0,bottom
D33,1N4148W-T4,D_SOD-523,35.71875,-121.44375,90.0,bottom
D34,1N4148W-T4,D_SOD-523,54.76875,-121.44375,90.0,bottom
D35,1N4148W-T4,D_SOD-523,73.81875,-121.44375,90.0,bottom
D36,1N4148W-T4,D_SOD-523,92.86875,-121.44375,90.0,bottom
D37,1N4148W-T4,D_SOD-523,111.91875,-121.44375,90.0,bottom
D38,1N4148W-T4,D_SOD-523,130.96875,-121.44375,90.0,bottom
D39,1N4148W-T4,D_SOD-523,150.01875,-121.44375,90.0,bottom
D40,1N4148W-T4,D_SOD-523,169.06875,-121.44375,90.0,bottom
D41,1N4148W-T4,D_SOD-523,188.11875,-121.44375,90.0,bottom
D42,1N4148W-T4,D_SOD-523,207.16875,-121.44375,90.0,bottom
D43,1N4148W-T4,D_SOD-523,226.21875,-121.44375,90.0,bottom
D44,1N4148W-T4,D_SOD-523,245.26875,-121.44375,90.0,bottom
D45,1N4148W-T4,D_SOD-523,264.31875,-121.44375,90.0,bottom
D46,1N4148W-T4,D_SOD-523,283.36875,-121.44375,90.0,bottom
D47,1N4148W-T4,D_SOD-523,302.41875,-121.44375,90.0,bottom
D48,1N4148W-T4,D_SOD-523,321.46875,-121.44375,90.0,bottom
D49,1N4148W-T4,D_SOD-523,35.71875,-140.49375,90.0,bottom
D50,1N4148W-T4,D_SOD-523,54.76875,-140.49375,90.0,bottom
D51,1N4148W-T4,D_SOD-523,73.81875,-140.49375,90.0,bottom
D52,1N4148W-T4,D_SOD-523,92.86875,-140.49375,90.0,bottom
D53,1N4148W-T4,D_SOD-523,111.91875,-140.49375,90.0,bottom
D54,1N4148W-T4,D_SOD-523,130.96875,-140.49375,90.0,bottom
D55,1N4148W-T4,D_SOD-523,150.01875,-140.49375,90.0,bottom
D56,1N4148W-T4,D_SOD-523,169.06875,-140.49375,90.0,bottom
D57,1N4148W-T4,D_SOD-523,188.11875,-140.49375,90.0,bottom
D58,1N4148W-T4,D_SOD-523,207.16875,-140.49375,90.0,bottom
D59,1N4148W-T4,D_SOD-523,226.21875,-140.49375,90.0,bottom
D60,1N4148W-T4,D_SOD-523,245.26875,-140.49375,90.0,bottom
D61,1N4148W-T4,D_SOD-523,264.31875,-140.49375,90.0,bottom
D62,1N4148W-T4,D_SOD-523,283.36875,-140.49375,90.0,bottom
D63,1N4148W-T4,D_SOD-523,302.41875,-140.49375,90.0,bottom
D64,1N4148W-T4,D_SOD-523,321.46875,-140.49375,90.0,bottom
F0,6v 500ma,Fuse_0603_1608Metric_Castellated,46.06925,-78.5495,-90.0,bottom
J0,USB,USB_C_Receptacle_HRO_TYPE-C-31-M-12,49.403,-71.247,0.0,bottom
LC1,100nF,Passive_0402_1005Metric,46.0375,-109.5375,90.0,bottom
LC2,100nF,Passive_0402_1005Metric,54.640725,-109.5375,90.0,bottom
LC3,100nF,Passive_0402_1005Metric,63.24395,-109.5375,90.0,bottom
LC4,100nF,Passive_0402_1005Metric,71.847175,-109.5375,90.0,bottom
LC5,100nF,Passive_0402_1005Metric,80.4504,-109.5375,90.0,bottom
LC6,100nF,Passive_0402_1005Metric,89.053625,-109.5375,90.0,bottom
LC7,100nF,Passive_0402_1005Metric,97.65685,-109.5375,90.0,bottom
LC8,100nF,Passive_0402_1005Metric,106.260075,-109.5375,90.0,bottom
LC9,100nF,Passive_0402_1005Metric,114.8633,-109.5375,90.0,bottom
LC10,100nF,Passive_0402_1005Metric,123.466525,-109.5375,90.0,bottom
LC11,100nF,Passive_0402_1005Metric,132.06975,-109.5375,90.0,bottom
LC12,100nF,Passive_0402_1005Metric,140.672975,-109.5375,90.0,bottom
LC13,100nF,Passive_0402_1005Metric,149.2762,-109.5375,90.0,bottom
LC14,100nF,Passive_0402_1005Metric,157.879425,-109.5375,90.0,bottom
LC15,100nF,Passive_0402_1005Metric,166.48265,-109.5375,90.0,bottom
LC16,100nF,Passive_0402_1005Metric,175.085875,-109.5375,90.0,bottom
LC17,100nF,Passive_0402_1005Metric,183.6891,-109.5375,90.0,bottom
LC18,100nF,Passive_0402_1005Metric,192.292325,-109.5375,90.0,bottom
LC19,100nF,Passive_0402_1005Metric,200.89555,-109.5375,90.0,bottom
LC20,100nF,Passive_0402_1005Metric,209.498775,-109.5375,90.0,bottom
LC21,100nF,Passive_0402_1005Metric,218.102,-109.5375,90.0,bottom
LC22,100nF,Passive_0402_1005Metric,226.705225,-109.5375,90.0,bottom
LC23,100nF,Passive_0402_1005Metric,235.30845,-109.5375,90.0,bottom
LC24,100nF,Passive_0402_1005Metric,243.911675,-109.5375,90.0,bottom
LC25,100nF,Passive_0402_1005Metric,252.480525,-109.5375,90.0,bottom
LC26,100nF,Passive_0402_1005Metric,261.118125,-109.5375,90.0,bottom
LC27,100nF,Passive_0402_1005Metric,269.72135,-109.5375,90.0,bottom
LC28,100nF,Passive_0402_1005Metric,278.324575,-109.5375,90.0,bottom
LC29,100nF,Passive_0402_1005Metric,286.9278,-109.5375,90.0,bottom
LC30,100nF,Passive_0402_1005Metric,295.45915,-109.5375,90.0,bottom
LC31,100nF,Passive_0402_1005Metric,304.13425,-109.5375,90.0,bottom
LC32,100nF,Passive_0402_1005Metric,312.737475,-109.5375,90.0,bottom
LD1,WS2812C-2020,WS2812B_2020,48.41875,-109.5375,0.0,bottom
LD2,WS2812C-2020,WS2812B_2020,57.021975,-109.5375,0.0,bottom
LD3,WS2812C-2020,WS2812B_2020,65.6252,-109.5375,0.0,bottom
LD4,WS2812C-2020,WS2812B_2020,74.228425,-109.5375,0.0,bottom
LD5,WS2812C-2020,WS2812B_2020,82.83165,-109.5375,0.0,bottom
LD6,WS2812C-2020,WS2812B_2020,91.434875,-109.5375,0.0,bottom
LD7,WS2812C-2020,WS2812B_2020,100.0381,-109.5375,0.0,bottom
LD8,WS2812C-2020,WS2812B_2020,108.641325,-109.5375,0.0,bottom
LD9,WS2812C-2020,WS2812B_2020,117.24455,-109.5375,0.0,bottom
LD10,WS2812C-2020,WS2812B_2020,125.847775,-109.5375,0.0,bottom
LD11,WS2812C-2020,WS2812B_2020,134.451,-109.5375,0.0,bottom
LD12,WS2812C-2020,WS2812B_2020,143.054225,-109.5375,0.0,bottom
LD13,WS2812C-2020,WS2812B_2020,151.65745,-109.5375,0.0,bottom
LD14,WS2812C-2020,WS2812B_2020,160.260675,-109.5375,0.0,bottom
LD15,WS2812C-2020,WS2812B_2020,168.8639,-109.5375,0.0,bottom
LD16,WS2812C-2020,WS2812B_2020,177.467125,-109.5375,0.0,bottom
LD17,WS2812C-2020,WS2812B_2020,186.07035,-109.5375,0.0,bottom
LD18,WS2812C-2020,WS2812B_2020,194.673575,-109.5375,0.0,bottom
LD19,WS2812C-2020,WS2812B_2020,203.2768,-109.5375,0.0,bottom
LD20,WS2812C-2020,WS2812B_2020,211.880025,-109.5375,0.0,bottom
LD21,WS2812C-2020,WS2812B_2020,220.48325,-109.5375,0.0,bottom
LD22,WS2812C-2020,WS2812B_2020,229.086475,-109.5375,0.0,bottom
LD23,WS2812C-2020,WS2812B_2020,237.6897,-109.5375,0.0,bottom
LD24,WS2812C-2020,WS2812B_2020,246.292925,-109.5375,0.0,bottom
LD25,WS2812C-2020,WS2812B_2020,254.930525,-109.5375,0.0,bottom
LD26,WS2812C-2020,WS2812B_2020,263.499375,-109.5375,0.0,bottom
LD27,WS2812C-2020,WS2812B_2020,272.1026,-109.5375,0.0,bottom
LD28,WS2812C-2020,WS2812B_2020,280.705825,-109.5375,0.0,bottom
LD29,WS2812C-2020,WS2812B_2020,289.30905,-109.5375,0.0,bottom
LD30,WS2812C-2020,WS2812B_2020,297.98415,-109.5375,0.0,bottom
LD31,WS2812C-2020,WS2812B_2020,306.5155,-109.5375,0.0,bottom
LD32,WS2812C-2020,WS2812B_2020,315.118725,-109.5375,0.0,bottom
RC1,5k1,Passive_0402_1005Metric,47.625,-77.7875,-90.0,bottom
RC2,5k1,Passive_0402_1005Metric,51.59375,-77.7875,90.0,bottom
RD0,27,Passive_0402_1005Metric,83.3628,-84.4018,-90.0,bottom
RD1,27,Passive_0402_1005Metric,84.3788,-84.4018,-90.0,bottom
RF1,1k,Passive_0402_1005Metric,103.251,-74.803,-90.0,bottom
RL1,5k1,Passive_0402_1005Metric,53.1622,-85.6996,180.0,bottom
RR1,1k,Passive_0402_1005Metric,103.251,-77.089,90.0,bottom
RX1,1k,Passive_0402_1005Metric,87.6808,-95.8088,0.0,bottom
S1,RESET,SW_EVPBB4A9B000,105.664,-77.089,0.0,bottom
S2,USB BOOT,SW_EVPBB4A9B000,105.664,-74.803,180.0,bottom
TX0,Transducer,Buzzer_CUI_CPT-9019S-SMT,297.65625,-128.5875,0.0,bottom
TX1,Transducer,Buzzer_CUI_CPT-9019S-SMT,69.85,-128.5875,180.0,bottom
U0,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm_ThermalVias,86.487,-90.4875,180.0,bottom
U1,LDO-3.3,SOT-23,46.83125,-84.1248,90.0,bottom
U2,USBLC6-2SC6,SOT-23-6,50.3936,-84.1248,90.0,bottom
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,86.0552,-77.5208,-90.0,bottom
Y0,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,86.5632,-99.187,180.0,bottom
