Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uf,Passive_0402_1005Metric,83.693,-84.455,90.0,bottom
C2,100nF,Passive_0402_1005Metric,84.836,-96.266,270.0,bottom
C3,100nF,Passive_0402_1005Metric,92.202,-91.567,180.0,bottom
C4,100nF,Passive_0402_1005Metric,80.645,-91.567,0.0,bottom
C5,100nF,Passive_0402_1005Metric,80.772,-87.503,0.0,bottom
C6,100nF,Passive_0402_1005Metric,92.202,-87.503,180.0,bottom
C7,100nF,Passive_0402_1005Metric,82.677,-84.455,90.0,bottom
C8,100nF,Passive_0402_1005Metric,86.36875,-84.4525,90.0,bottom
C9,100nF,Passive_0402_1005Metric,87.38475,-84.4525,90.0,bottom
C10,100nF,Passive_0402_1005Metric,83.693,-96.266,270.0,bottom
C11,1uf,Passive_0402_1005Metric,84.709,-84.455,90.0,bottom
CF1,100nF,Passive_0402_1005Metric,82.92675,-73.217,90.0,bottom
CP1,100nF,Passive_0402_1005Metric,48.56875,-104.6375,180.0,bottom
CP2,22uf,Passive_0402_1005Metric,47.65375,-99.8375,180.0,bottom
CP3,22uf,Passive_0402_1005Metric,47.65375,-98.7375,180.0,bottom
CP4,22uf,Passive_0402_1005Metric,47.65375,-97.6375,180.0,bottom
CP5,22uf,Passive_0402_1005Metric,47.65375,-96.5375,180.0,bottom
CP6,22uf,Passive_0402_1005Metric,49.68375,-112.7375,180.0,bottom
CP7,22uf,Passive_0402_1005Metric,49.68375,-111.6375,180.0,bottom
CP8,22uf,Passive_0402_1005Metric,49.68375,-110.5375,180.0,bottom
CP9,22uf,Passive_0402_1005Metric,47.68375,-113.8375,0.0,bottom
CP10,22uf,Passive_0402_1005Metric,49.65375,-97.6375,0.0,bottom
CP11,22uf,Passive_0402_1005Metric,49.65375,-96.5375,0.0,bottom
CP12,22uf,Passive_0402_1005Metric,49.65375,-98.7375,0.0,bottom
CP13,22uf,Passive_0402_1005Metric,49.65375,-99.8375,0.0,bottom
CP14,22uf,Passive_0402_1005Metric,49.68375,-113.8375,180.0,bottom
CP15,22uf,Passive_0402_1005Metric,47.68375,-110.5375,0.0,bottom
CP16,22uf,Passive_0402_1005Metric,47.68375,-112.7375,0.0,bottom
CP17,22uf,Passive_0402_1005Metric,47.68375,-111.6375,0.0,bottom
D1,1N4148W-T4,D_SOD-523,41.36875,-77.9875,90.0,bottom
D2,1N4148W-T4,D_SOD-523,60.41875,-77.9875,90.0,bottom
D3,1N4148W-T4,D_SOD-523,79.46875,-77.9875,90.0,bottom
D4,1N4148W-T4,D_SOD-523,98.51875,-77.9875,90.0,bottom
D5,1N4148W-T4,D_SOD-523,117.56875,-77.9875,90.0,bottom
D6,1N4148W-T4,D_SOD-523,136.61875,-77.9875,90.0,bottom
D7,1N4148W-T4,D_SOD-523,155.66875,-77.9875,90.0,bottom
D8,1N4148W-T4,D_SOD-523,174.71875,-77.9875,90.0,bottom
D9,1N4148W-T4,D_SOD-523,193.76875,-77.9875,90.0,bottom
D10,1N4148W-T4,D_SOD-523,212.81875,-77.9875,90.0,bottom
D11,1N4148W-T4,D_SOD-523,231.86875,-77.9875,90.0,bottom
D12,1N4148W-T4,D_SOD-523,250.91875,-77.9875,90.0,bottom
D13,1N4148W-T4,D_SOD-523,269.96875,-77.9875,90.0,bottom
D14,1N4148W-T4,D_SOD-523,289.01875,-77.9875,90.0,bottom
D15,1N4148W-T4,D_SOD-523,308.06875,-77.9875,90.0,bottom
D16,1N4148W-T4,D_SOD-523,327.11875,-77.9875,90.0,bottom
D17,1N4148W-T4,D_SOD-523,41.36875,-97.0375,90.0,bottom
D18,1N4148W-T4,D_SOD-523,60.41875,-97.0375,90.0,bottom
D19,1N4148W-T4,D_SOD-523,79.46875,-97.0375,90.0,bottom
D20,1N4148W-T4,D_SOD-523,98.51875,-97.0375,90.0,bottom
D21,1N4148W-T4,D_SOD-523,117.56875,-97.0375,90.0,bottom
D22,1N4148W-T4,D_SOD-523,136.61875,-97.0375,90.0,bottom
D23,1N4148W-T4,D_SOD-523,155.66875,-97.0375,90.0,bottom
D24,1N4148W-T4,D_SOD-523,174.71875,-97.0375,90.0,bottom
