Designator,Mid X,Mid Y,Rotation,Layer
C1,83.693,-84.455,90.0,bottom
C10,83.693,-96.266,270.0,bottom
C11,84.709,-84.455,90.0,bottom
C2,84.836,-96.266,270.0,bottom
C3,92.202,-91.567,0.0,bottom
C4,80.645,-91.567,180.0,bottom
C5,80.772,-87.503,180.0,bottom
C6,92.202,-87.503,0.0,bottom
C7,82.677,-84.455,90.0,bottom
C8,86.36875,-84.4525,90.0,bottom
C9,87.38475,-84.4525,90.0,bottom
CF1,82.92675,-73.217,90.0,bottom
CP1,48.56875,-104.6375,0.0,bottom
CP10,49.65375,-97.6375,180.0,bottom
CP11,49.65375,-96.5375,180.0,bottom
CP12,49.65375,-98.7375,180.0,bottom
CP13,49.65375,-99.8375,180.0,bottom
CP14,49.68375,-113.8375,0.0,bottom
CP15,47.68375,-110.5375,180.0,bottom
CP16,47.68375,-112.7375,180.0,bottom
CP17,47.68375,-111.6375,180.0,bottom
CP2,47.65375,-99.8375,0.0,bottom
CP3,47.65375,-98.7375,0.0,bottom
CP4,47.65375,-97.6375,0.0,bottom
CP5,47.65375,-96.5375,0.0,bottom
CP6,49.68375,-112.7375,0.0,bottom
CP7,49.68375,-111.6375,0.0,bottom
CP8,49.68375,-110.5375,0.0,bottom
CP9,47.68375,-113.8375,180.0,bottom
D1,41.36875,-77.9875,90.0,bottom
D10,212.81875,-77.9875,90.0,bottom
D11,231.86875,-77.9875,90.0,bottom
D12,250.91875,-77.9875,90.0,bottom
D13,269.96875,-77.9875,90.0,bottom
D14,289.01875,-77.9875,90.0,bottom
D15,308.06875,-77.9875,90.0,bottom
D16,327.11875,-77.9875,90.0,bottom
D17,41.36875,-97.0375,90.0,bottom
D18,60.41875,-97.0375,90.0,bottom
D19,79.46875,-97.0375,90.0,bottom
D2,60.41875,-77.9875,90.0,bottom
D20,98.51875,-97.0375,90.0,bottom
D21,117.56875,-97.0375,90.0,bottom
D22,136.61875,-97.0375,90.0,bottom
D23,155.66875,-97.0375,90.0,bottom
D24,174.71875,-97.0375,90.0,bottom
D25,193.76875,-96.975,90.0,bottom
D26,212.81875,-97.05,90.0,bottom
D27,231.86875,-97.0375,90.0,bottom
D28,250.91875,-97.0375,90.0,bottom
D29,269.96875,-97.0375,90.0,bottom
D3,79.46875,-77.9875,90.0,bottom
D30,289.01875,-97.0375,90.0,bottom
D31,308.06875,-97.0375,90.0,bottom
D32,327.11875,-97.0375,90.0,bottom
D33,41.36875,-116.0875,90.0,bottom
D34,60.41875,-116.0875,90.0,bottom
D35,79.46875,-116.0875,90.0,bottom
D36,98.51875,-116.0875,90.0,bottom
D37,117.56875,-116.0875,90.0,bottom
D38,136.61875,-116.0875,90.0,bottom
D39,155.66875,-116.0875,90.0,bottom
D4,98.51875,-77.9875,90.0,bottom
D40,174.71875,-116.0875,90.0,bottom
D41,193.76875,-116.0875,90.0,bottom
D42,212.81875,-116.0875,90.0,bottom
D43,231.86875,-116.0875,90.0,bottom
D44,250.91875,-116.0875,90.0,bottom
D45,269.96875,-116.0875,90.0,bottom
D46,289.01875,-116.0875,90.0,bottom
D47,308.06875,-116.0875,90.0,bottom
D48,327.11875,-116.0875,90.0,bottom
D49,41.36875,-135.1375,90.0,bottom
D5,117.56875,-77.9875,90.0,bottom
D50,60.41875,-135.1375,90.0,bottom
D51,79.46875,-135.1375,90.0,bottom
D52,98.51875,-135.1375,90.0,bottom
D53,117.56875,-135.1375,90.0,bottom
D54,136.61875,-135.1375,90.0,bottom
D55,155.66875,-135.1375,90.0,bottom
D56,174.71875,-135.1375,90.0,bottom
D57,193.76875,-135.1375,90.0,bottom
D58,212.81875,-135.1375,90.0,bottom
D59,231.86875,-135.1375,90.0,bottom
D6,136.61875,-77.9875,90.0,bottom
D60,250.91875,-135.1375,90.0,bottom
D61,269.96875,-135.1375,90.0,bottom
D62,289.01875,-135.1375,90.0,bottom
D63,308.06875,-135.1375,90.0,bottom
D64,327.11875,-135.1375,90.0,bottom
D7,155.66875,-77.9875,90.0,bottom
D8,174.71875,-77.9875,90.0,bottom
D9,193.76875,-77.9875,90.0,bottom
F0,52.36875,-83.1375,180.0,bottom
G0,277.01875,-90.4875,180.0,bottom
J0,50.86875,-73.6375,0.0,bottom
J1,67.46875,-74.4375,0.0,bottom
J2,60.46875,-87.8675,180.0,bottom
K1,38.89375,-80.9625,0.0,top
K10,210.34375,-80.9625,0.0,top
K11,229.39375,-80.9625,0.0,top
K12,248.44375,-80.9625,0.0,top
K13,267.49375,-80.9625,0.0,top
K14,286.54375,-80.9625,0.0,top
K15,305.59375,-80.9625,0.0,top
K16,324.64375,-80.9625,0.0,top
K17,38.89375,-100.0125,0.0,top
K18,57.94375,-100.0125,0.0,top
K19,76.99375,-100.0125,0.0,top
K2,57.94375,-80.9625,0.0,top
K20,96.04375,-100.0125,0.0,top
K21,115.09375,-100.0125,0.0,top
K22,134.14375,-100.0125,0.0,top
K23,153.19375,-100.0125,0.0,top
K24,172.24375,-100.0125,0.0,top
K25,191.29375,-100.0125,0.0,top
K26,210.34375,-100.0125,0.0,top
K27,229.39375,-100.0125,0.0,top
K28,248.44375,-100.0125,0.0,top
K29,267.49375,-100.0125,0.0,top
K3,76.99375,-80.9498,0.0,top
K30,286.54375,-100.0125,0.0,top
K31,305.59375,-100.0125,0.0,top
K32,324.64375,-100.0125,0.0,top
K33,38.89375,-119.0625,0.0,top
K34,57.94375,-119.0625,0.0,top
K35,76.99375,-119.0625,0.0,top
K36,96.04375,-119.0625,0.0,top
K37,115.09375,-119.0625,0.0,top
K38,134.14375,-119.0625,0.0,top
K39,153.19375,-119.0625,0.0,top
K4,96.04375,-80.9625,0.0,top
K40,172.24375,-119.0625,0.0,top
K41,191.29375,-119.0625,0.0,top
