Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","Passive_0402_1005Metric",-101.854000,-153.797000,0.000000,bottom
"C2","100nF","Passive_0402_1005Metric",-96.774000,-158.750000,0.000000,bottom
"C3","100nF","Passive_0402_1005Metric",-89.154000,-158.750000,0.000000,bottom
"C4","100nF","Passive_0402_1005Metric",-83.820000,-147.066000,180.000000,bottom
"C5","100nF","Passive_0402_1005Metric",-96.266000,-142.240000,180.000000,bottom
"C6","100nF","Passive_0402_1005Metric",-100.838000,-145.669000,0.000000,bottom
"C7","10uF","Passive_0402_1005Metric",-122.174000,-131.318000,180.000000,bottom
"C8","100nF","Passive_0402_1005Metric",-122.174000,-126.746000,0.000000,bottom
"C9","100nF","Passive_0402_1005Metric",-111.760000,-139.446000,90.000000,bottom
"CL1","0.012nF","Passive_0402_1005Metric",-102.997000,-146.177000,0.000000,bottom
"CL2","0.012nF","Passive_0402_1005Metric",-102.997000,-151.511000,0.000000,bottom
"CV1","4.7uF","Passive_0402_1005Metric",-89.154000,-159.766000,180.000000,bottom
"D1","SOD-523","D_SOD-523",-108.739600,-153.182300,90.000000,bottom
"D2","SOD-523","D_SOD-523",-146.839600,-134.132300,90.000000,bottom
"D3","SOD-523","D_SOD-523",-165.889600,-134.132300,90.000000,bottom
"D4","SOD-523","D_SOD-523",-184.939600,-134.132300,90.000000,bottom
"D5","SOD-523","D_SOD-523",-203.989600,-134.132300,90.000000,bottom
"D6","SOD-523","D_SOD-523",-232.564600,-134.132300,90.000000,bottom
"D7","SOD-523","D_SOD-523",-251.614600,-134.132300,90.000000,bottom
"D8","SOD-523","D_SOD-523",-270.664600,-134.132300,90.000000,bottom
"D9","SOD-523","D_SOD-523",-289.714600,-134.132300,90.000000,bottom
"D10","SOD-523","D_SOD-523",-332.994000,-137.795000,90.000000,bottom
"D11","SOD-523","D_SOD-523",-352.806000,-137.795000,90.000000,bottom
"D12","SOD-523","D_SOD-523",-371.856000,-137.795000,90.000000,bottom
"D13","SOD-523","D_SOD-523",-390.906000,-137.795000,90.000000,bottom
"D14","SOD-523","D_SOD-523",-418.302100,-134.132300,90.000000,bottom
"D15","SOD-523","D_SOD-523",-146.839600,-153.182300,90.000000,bottom
"D16","SOD-523","D_SOD-523",-165.889600,-153.182300,90.000000,bottom
"D17","SOD-523","D_SOD-523",-184.939600,-153.182300,90.000000,bottom
"D18","SOD-523","D_SOD-523",-203.989600,-153.182300,90.000000,bottom
"D19","SOD-523","D_SOD-523",-232.564600,-153.182300,90.000000,bottom
"D20","SOD-523","D_SOD-523",-251.614600,-153.182300,90.000000,bottom
"D21","SOD-523","D_SOD-523",-270.664600,-153.182300,90.000000,bottom
"D22","SOD-523","D_SOD-523",-289.714600,-153.182300,90.000000,bottom
"D23","SOD-523","D_SOD-523",-318.289600,-153.182300,90.000000,bottom
"D24","SOD-523","D_SOD-523",-337.339600,-153.182300,90.000000,bottom
"D25","SOD-523","D_SOD-523",-356.389600,-153.182300,90.000000,bottom
"D26","SOD-523","D_SOD-523",-375.439600,-153.182300,90.000000,bottom
"D27","SOD-523","D_SOD-523",-399.252100,-153.182300,90.000000,bottom
"D28","SOD-523","D_SOD-523",-418.302100,-153.182300,90.000000,bottom
"D29","SOD-523","D_SOD-523",-437.352100,-153.182300,90.000000,bottom
"D30","SOD-523","D_SOD-523",-65.877100,-181.757300,90.000000,bottom
"D31","SOD-523","D_SOD-523",-84.927100,-181.757300,90.000000,bottom
"D32","SOD-523","D_SOD-523",-108.739600,-181.757300,90.000000,bottom
"D33","SOD-523","D_SOD-523",-127.789600,-181.757300,90.000000,bottom
"D34","SOD-523","D_SOD-523",-146.839600,-181.757300,90.000000,bottom
"D35","SOD-523","D_SOD-523",-165.889600,-181.757300,90.000000,bottom
"D36","SOD-523","D_SOD-523",-184.939600,-181.757300,90.000000,bottom
"D37","SOD-523","D_SOD-523",-203.989600,-181.757300,90.000000,bottom
"D38","SOD-523","D_SOD-523",-223.039600,-181.757300,90.000000,bottom
"D39","SOD-523","D_SOD-523",-242.089600,-181.757300,90.000000,bottom
"D40","SOD-523","D_SOD-523",-261.139600,-181.757300,90.000000,bottom
"D41","SOD-523","D_SOD-523",-280.189600,-181.757300,90.000000,bottom
"D42","SOD-523","D_SOD-523",-299.239600,-181.757300,90.000000,bottom
"D43","SOD-523","D_SOD-523",-318.289600,-181.757300,90.000000,bottom
"D44","SOD-523","D_SOD-523",-337.339600,-181.757300,90.000000,bottom
"D45","SOD-523","D_SOD-523",-365.914600,-181.757300,90.000000,bottom
"D46","SOD-523","D_SOD-523",-399.252100,-181.757300,90.000000,bottom
"D47","SOD-523","D_SOD-523",-418.302100,-181.757300,90.000000,bottom
"D48","SOD-523","D_SOD-523",-437.352100,-181.757300,90.000000,bottom
"D49","SOD-523","D_SOD-523",-461.164600,-181.757300,90.000000,bottom
"D50","SOD-523","D_SOD-523",-480.214600,-181.757300,90.000000,bottom
"D51","SOD-523","D_SOD-523",-499.264600,-181.757300,90.000000,bottom
"D52","SOD-523","D_SOD-523",-518.314600,-181.757300,90.000000,bottom
"D53","SOD-523","D_SOD-523",-65.877100,-200.807300,90.000000,bottom
"D54","SOD-523","D_SOD-523",-84.927100,-200.807300,90.000000,bottom
"D55","SOD-523","D_SOD-523",-113.502100,-200.807300,90.000000,bottom
"D56","SOD-523","D_SOD-523",-137.314600,-200.807300,90.000000,bottom
"D57","SOD-523","D_SOD-523",-156.364600,-200.807300,90.000000,bottom
"D58","SOD-523","D_SOD-523",-175.414600,-200.807300,90.000000,bottom
"D59","SOD-523","D_SOD-523",-194.464600,-200.807300,90.000000,bottom
"D60","SOD-523","D_SOD-523",-213.514600,-200.807300,90.000000,bottom
"D61","SOD-523","D_SOD-523",-232.564600,-200.807300,90.000000,bottom
"D62","SOD-523","D_SOD-523",-251.614600,-200.807300,90.000000,bottom
"D63","SOD-523","D_SOD-523",-270.664600,-200.807300,90.000000,bottom
"D64","SOD-523","D_SOD-523",-289.714600,-200.807300,90.000000,bottom
"D65","SOD-523","D_SOD-523",-308.764600,-200.807300,90.000000,bottom
"D66","SOD-523","D_SOD-523",-327.814600,-200.807300,90.000000,bottom
"D67","SOD-523","D_SOD-523",-346.864600,-200.807300,90.000000,bottom
"D68","SOD-523","D_SOD-523",-370.677100,-200.807300,90.000000,bottom
"D69","SOD-523","D_SOD-523",-399.252100,-200.807300,90.000000,bottom
"D70","SOD-523","D_SOD-523",-418.302100,-200.807300,90.000000,bottom
"D71","SOD-523","D_SOD-523",-437.352100,-200.807300,90.000000,bottom
"D72","SOD-523","D_SOD-523",-461.164600,-200.807300,90.000000,bottom
"D73","SOD-523","D_SOD-523",-480.214600,-200.807300,90.000000,bottom
"D74","SOD-523","D_SOD-523",-499.264600,-200.807300,90.000000,bottom
"D75","SOD-523","D_SOD-523",-515.143750,-211.137500,-90.000000,bottom
"D75A2","SOD-523","D_SOD-523",-524.668750,-216.693750,-90.000000,bottom
"D76","SOD-523","D_SOD-523",-65.877100,-219.857300,90.000000,bottom
"D77","SOD-523","D_SOD-523",-84.927100,-219.857300,90.000000,bottom
"D78","SOD-523","D_SOD-523",-115.883350,-219.857300,90.000000,bottom
"D79","SOD-523","D_SOD-523",-142.077100,-219.857300,90.000000,bottom
"D80","SOD-523","D_SOD-523",-161.127100,-219.857300,90.000000,bottom
"D81","SOD-523","D_SOD-523",-180.177100,-219.857300,90.000000,bottom
"D82","SOD-523","D_SOD-523",-199.227100,-219.857300,90.000000,bottom
"D83","SOD-523","D_SOD-523",-218.277100,-219.857300,90.000000,bottom
"D84","SOD-523","D_SOD-523",-237.327100,-219.857300,90.000000,bottom
"D85","SOD-523","D_SOD-523",-256.377100,-219.857300,90.000000,bottom
"D86","SOD-523","D_SOD-523",-275.427100,-219.857300,90.000000,bottom
"D87","SOD-523","D_SOD-523",-294.477100,-219.857300,90.000000,bottom
