Comment,Designator,Footprint,LCSC
USB BOOT,S1,SW_EVPBB4A9B000,C140848
100nF,"C1,C3,C4,C5,C6,C7,C8,C9,CF1,CP1,CX1,CX2",Passive_0402_1005Metric,C1525
USB,J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C167321
RP2040,U0,QFN-56-RP2040,C2040
6v 500ma,F1,Fuse_0603_1608Metric,C207011
10uf,C11,Passive_0402_1005Metric,C23733
100K,RP1,Passive_0402_1005Metric,C25741
5k1,"RC1,RC2,RF1,RR1,RX2",Passive_0402_1005Metric,C25905
SOD-523,"D1,D10,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D11,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D12,D120,D121,D122,D123,D124,D125,D126,D127,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99,DR1,DR2,DR3,DT1,DT2,DT3,DT4",D_SOD-523,C2802290
USBLC6-2SC6,U3,SOT-23-6,C2827654
Transducer,TX1,Buzzer_CUI_CPT-9019S-SMT,C391035
27,"RD1,RD2",Passive_0402_1005Metric,C413051 
22uf,"CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9",Passive_0402_1005Metric,C415703
22.1K,RP2,Passive_0402_1005Metric,C43473
1uf,"C10,C2",Passive_0402_1005Metric,C52923
MT2492,U1,SOT-23-6,C89358
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
10uH,LP1,L_Wuerth_HCI-1040,C9935
Mount,H8,SolderableHole-M2,
OmniSwitch,K70,MX-Choc-RGB,
OmniSwitch,K42,MX-Choc-RGB,
OmniSwitch,K44,MX-Choc-RGB,
OmniSwitch,K8,MX-Choc-RGB,
