Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,Passive_0402_1005Metric,433.25415,118.0465,90.0,bottom
C2,100nF,Passive_0402_1005Metric,438.94375,114.6175,0.0,bottom
C3,100nF,Passive_0402_1005Metric,439.95975,109.6645,0.0,bottom
C4,100nF,Passive_0402_1005Metric,432.08575,104.8385,180.0,bottom
C5,100nF,Passive_0402_1005Metric,426.96875,110.1625,180.0,bottom
C6,100nF,Passive_0402_1005Metric,428.02175,114.5921,180.0,bottom
C7,100nF,Passive_0402_1005Metric,429.46955,116.9797,90.0,bottom
C8,1uf,Passive_0402_1005Metric,430.53635,116.9797,90.0,bottom
C9,1uf,Passive_0402_1005Metric,431.60315,116.9797,90.0,bottom
C10,100nF,Passive_0402_1005Metric,432.08575,105.8545,180.0,bottom
C11,100nF,Passive_0402_1005Metric,434.29555,118.0719,90.0,bottom
CF1,100nF,Passive_0402_1005Metric,442.62675,127.8255,180.0,bottom
CP1,100nF,Passive_0402_1005Metric,414.81375,132.1435,-90.0,bottom
CP2,22uf,Passive_0402_1005Metric,420.65575,134.8359,-90.0,bottom
CP3,22uf,Passive_0402_1005Metric,421.79875,134.8359,-90.0,bottom
CP4,22uf,Passive_0402_1005Metric,422.94175,134.8359,-90.0,bottom
CP5,22uf,Passive_0402_1005Metric,424.08475,134.8359,-90.0,bottom
CP6,22uf,Passive_0402_1005Metric,420.65575,132.6769,90.0,bottom
CP7,22uf,Passive_0402_1005Metric,421.79875,132.6769,90.0,bottom
CP8,22uf,Passive_0402_1005Metric,422.94175,132.6769,90.0,bottom
CP9,22uf,Passive_0402_1005Metric,424.08475,132.6769,90.0,bottom
CP10,22uf,Passive_0402_1005Metric,400.71675,134.9375,90.0,bottom
CP11,22uf,Passive_0402_1005Metric,399.57375,134.9375,90.0,bottom
CP12,22uf,Passive_0402_1005Metric,398.43075,134.9375,90.0,bottom
CP13,22uf,Passive_0402_1005Metric,397.28775,134.9375,90.0,bottom
CP14,22uf,Passive_0402_1005Metric,400.71675,132.7785,-90.0,bottom
