Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
LC1,100nF,Passive_0402_1005Metric,100.0125,-152.4,180.0,top
LC2,100nF,Passive_0402_1005Metric,138.1125,-133.35,180.0,top
LC3,100nF,Passive_0402_1005Metric,157.1625,-133.35,180.0,top
LC4,100nF,Passive_0402_1005Metric,176.2125,-133.35,180.0,top
LC5,100nF,Passive_0402_1005Metric,195.2625,-133.35,180.0,top
LC6,100nF,Passive_0402_1005Metric,223.8375,-133.35,180.0,top
LC7,100nF,Passive_0402_1005Metric,242.8875,-133.35,180.0,top
LC8,100nF,Passive_0402_1005Metric,261.9375,-133.35,180.0,top
LC9,100nF,Passive_0402_1005Metric,280.9875,-133.35,180.0,top
LC10,100nF,Passive_0402_1005Metric,390.525,-133.35,180.0,top
LC11,100nF,Passive_0402_1005Metric,409.575,-133.35,180.0,top
LC12,100nF,Passive_0402_1005Metric,428.625,-133.35,180.0,top
LC13,100nF,Passive_0402_1005Metric,138.1125,-152.4,0.0,top
LC14,100nF,Passive_0402_1005Metric,157.1625,-152.4,0.0,top
LC15,100nF,Passive_0402_1005Metric,176.2125,-152.4,0.0,top
LC16,100nF,Passive_0402_1005Metric,195.2625,-152.4,0.0,top
LC17,100nF,Passive_0402_1005Metric,223.8375,-152.4,0.0,top
LC18,100nF,Passive_0402_1005Metric,242.8875,-152.4,0.0,top
LC19,100nF,Passive_0402_1005Metric,261.9375,-152.4,0.0,top
LC20,100nF,Passive_0402_1005Metric,280.9875,-152.4,0.0,top
LC21,100nF,Passive_0402_1005Metric,309.5625,-152.4,0.0,top
LC22,100nF,Passive_0402_1005Metric,328.6125,-152.4,0.0,top
LC23,100nF,Passive_0402_1005Metric,347.6625,-152.4,0.0,top
LC24,100nF,Passive_0402_1005Metric,366.7125,-152.4,0.0,top
LC25,100nF,Passive_0402_1005Metric,390.525,-152.4,0.0,top
LC26,100nF,Passive_0402_1005Metric,409.575,-152.4,0.0,top
LC27,100nF,Passive_0402_1005Metric,428.625,-152.4,0.0,top
LC28,100nF,Passive_0402_1005Metric,57.15,-180.975,180.0,top
LC29,100nF,Passive_0402_1005Metric,76.2,-180.975,180.0,top
LC30,100nF,Passive_0402_1005Metric,100.0125,-180.975,180.0,top
LC31,100nF,Passive_0402_1005Metric,119.0625,-180.975,180.0,top
LC32,100nF,Passive_0402_1005Metric,138.1125,-180.975,180.0,top
