Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","Passive_0402_1005Metric",-70.643750,-73.818750,180.000000,bottom
"C2","10uF","Passive_0402_1005Metric",-74.168000,-77.470000,90.000000,bottom
"CF1","100nF","Passive_0402_1005Metric",-80.518000,-120.166100,-90.000000,bottom
"CF2","100nF","Passive_0402_1005Metric",-81.661000,-120.166100,-90.000000,bottom
"CF3","100nF","Passive_0402_1005Metric",-67.056000,-114.808000,180.000000,bottom
"CF4","100nF","Passive_0402_1005Metric",-84.074000,-101.092000,90.000000,bottom
"CF5","4.7uF","Passive_0402_1005Metric",-85.344000,-116.586000,0.000000,bottom
"CF6","100nF","Passive_0402_1005Metric",-74.041000,-120.166100,-90.000000,bottom
"CF7","100nF","Passive_0402_1005Metric",-72.136000,-120.142000,-90.000000,bottom
"CF8","100nF","Passive_0402_1005Metric",-68.580000,-102.489000,180.000000,bottom
"CR1","100nF","Passive_0402_1005Metric",-44.069000,-103.124000,90.000000,bottom
"CV1","4.7uF","Passive_0402_1005Metric",-65.024000,-104.521000,180.000000,bottom
"CV2","4.7uF","Passive_0402_1005Metric",-81.661000,-99.695000,90.000000,bottom
"CY1","0.012nF","Passive_0402_1005Metric",-78.390750,-119.150100,180.000000,bottom
"CY2","0.012nF","Passive_0402_1005Metric",-76.231750,-119.150100,180.000000,bottom
"D1","1N4148W-T4","D_SOD-523",-40.481250,-78.040000,90.000000,bottom
"D2","1N4148W-T4","D_SOD-523",-59.531250,-78.040000,90.000000,bottom
"D3","1N4148W-T4","D_SOD-523",-88.106250,-78.040000,90.000000,bottom
"D4","1N4148W-T4","D_SOD-523",-107.156250,-78.040000,90.000000,bottom
"D5","1N4148W-T4","D_SOD-523",-126.206250,-78.040000,90.000000,bottom
"D6","1N4148W-T4","D_SOD-523",-145.256250,-78.040000,90.000000,bottom
"D7","1N4148W-T4","D_SOD-523",-164.306250,-78.040000,90.000000,bottom
"D8","1N4148W-T4","D_SOD-523",-183.356250,-78.040000,90.000000,bottom
"D9","1N4148W-T4","D_SOD-523",-202.406250,-78.040000,90.000000,bottom
"D10","1N4148W-T4","D_SOD-523",-221.456250,-78.040000,90.000000,bottom
"D11","1N4148W-T4","D_SOD-523",-40.481250,-97.090000,90.000000,bottom
"D12","1N4148W-T4","D_SOD-523",-59.531250,-97.090000,90.000000,bottom
"D13","1N4148W-T4","D_SOD-523",-88.106250,-97.090000,90.000000,bottom
"D14","1N4148W-T4","D_SOD-523",-107.156250,-97.090000,90.000000,bottom
"D15","1N4148W-T4","D_SOD-523",-126.206250,-97.090000,90.000000,bottom
"D16","1N4148W-T4","D_SOD-523",-145.256250,-97.090000,90.000000,bottom
"D17","1N4148W-T4","D_SOD-523",-164.306250,-97.090000,90.000000,bottom
"D18","1N4148W-T4","D_SOD-523",-183.356250,-97.090000,90.000000,bottom
"D19","1N4148W-T4","D_SOD-523",-202.406250,-97.090000,90.000000,bottom
"D20","1N4148W-T4","D_SOD-523",-221.456250,-97.090000,90.000000,bottom
"D21","1N4148W-T4","D_SOD-523",-240.506250,-97.090000,90.000000,bottom
"D22","1N4148W-T4","D_SOD-523",-259.556250,-97.090000,90.000000,bottom
"D23","1N4148W-T4","D_SOD-523",-278.606250,-97.090000,90.000000,bottom
"D24","1N4148W-T4","D_SOD-523",-297.656250,-97.090000,90.000000,bottom
"D25","1N4148W-T4","D_SOD-523",-316.706250,-97.090000,90.000000,bottom
"D26","1N4148W-T4","D_SOD-523",-335.756250,-97.090000,90.000000,bottom
"D27","1N4148W-T4","D_SOD-523",-354.806250,-97.090000,90.000000,bottom
"D28","1N4148W-T4","D_SOD-523",-373.856250,-97.090000,90.000000,bottom
"D29","1N4148W-T4","D_SOD-523",-40.481250,-125.665000,90.000000,bottom
"D30","1N4148W-T4","D_SOD-523",-59.531250,-125.665000,90.000000,bottom
"D31","1N4148W-T4","D_SOD-523",-88.106250,-125.665000,90.000000,bottom
"D32","1N4148W-T4","D_SOD-523",-107.315000,-125.665000,90.000000,bottom
"D33","1N4148W-T4","D_SOD-523",-126.206250,-125.665000,90.000000,bottom
"D34","1N4148W-T4","D_SOD-523",-145.256250,-125.665000,90.000000,bottom
"D35","1N4148W-T4","D_SOD-523",-164.306250,-125.665000,90.000000,bottom
"D36","1N4148W-T4","D_SOD-523",-183.356250,-125.665000,90.000000,bottom
"D37","1N4148W-T4","D_SOD-523",-202.406250,-125.665000,90.000000,bottom
"D38","1N4148W-T4","D_SOD-523",-221.456250,-125.665000,90.000000,bottom
"D39","1N4148W-T4","D_SOD-523",-240.506250,-125.665000,90.000000,bottom
"D40","1N4148W-T4","D_SOD-523",-259.556250,-125.665000,90.000000,bottom
"D41","1N4148W-T4","D_SOD-523",-278.606250,-125.665000,90.000000,bottom
"D42","1N4148W-T4","D_SOD-523",-297.656250,-125.665000,90.000000,bottom
"D43","1N4148W-T4","D_SOD-523",-316.706250,-125.665000,90.000000,bottom
"D44","1N4148W-T4","D_SOD-523",-335.756250,-125.665000,90.000000,bottom
"D45","1N4148W-T4","D_SOD-523",-354.806250,-125.665000,90.000000,bottom
"D46","1N4148W-T4","D_SOD-523",-373.856250,-125.665000,90.000000,bottom
"D47","1N4148W-T4","D_SOD-523",-40.481250,-144.715000,90.000000,bottom
"D48","1N4148W-T4","D_SOD-523",-59.531250,-144.715000,90.000000,bottom
"D49","1N4148W-T4","D_SOD-523",-88.106250,-144.715000,90.000000,bottom
"D50","1N4148W-T4","D_SOD-523",-107.156250,-144.715000,90.000000,bottom
"D51","1N4148W-T4","D_SOD-523",-126.206250,-144.715000,90.000000,bottom
"D52","1N4148W-T4","D_SOD-523",-145.256250,-144.715000,90.000000,bottom
"D53","1N4148W-T4","D_SOD-523",-164.306250,-144.715000,90.000000,bottom
"D54","1N4148W-T4","D_SOD-523",-183.356250,-144.715000,90.000000,bottom
"D55","1N4148W-T4","D_SOD-523",-202.406250,-144.715000,90.000000,bottom
"D56","1N4148W-T4","D_SOD-523",-221.456250,-144.715000,90.000000,bottom
"D57","1N4148W-T4","D_SOD-523",-240.506250,-144.715000,90.000000,bottom
"D58","1N4148W-T4","D_SOD-523",-259.556250,-144.715000,90.000000,bottom
"D59","1N4148W-T4","D_SOD-523",-278.606250,-144.715000,90.000000,bottom
"D60","1N4148W-T4","D_SOD-523",-297.656250,-144.715000,90.000000,bottom
"D61","1N4148W-T4","D_SOD-523",-316.706250,-144.715000,90.000000,bottom
"D62","1N4148W-T4","D_SOD-523",-335.756250,-144.715000,90.000000,bottom
"D63","1N4148W-T4","D_SOD-523",-354.806250,-144.715000,90.000000,bottom
"D64","1N4148W-T4","D_SOD-523",-373.856250,-144.715000,90.000000,bottom
"D65","1N4148W-T4","D_SOD-523",-40.481250,-163.765000,90.000000,bottom
"D66","1N4148W-T4","D_SOD-523",-59.531250,-163.765000,90.000000,bottom
"D67","1N4148W-T4","D_SOD-523",-88.106250,-163.765000,90.000000,bottom
