Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,Passive_0402_1005Metric,73.78445,-103.0682,90.0,bottom
C2,1uf,Passive_0402_1005Metric,74.36,-115.4,-90.0,bottom
C3,100nF,Passive_0402_1005Metric,83.312,-110.871,0.0,bottom
C4,100nF,Passive_0402_1005Metric,70.739,-110.998,180.0,bottom
C5,100nF,Passive_0402_1005Metric,71.22795,-106.5495,180.0,bottom
C6,100nF,Passive_0402_1005Metric,71.70305,-103.0682,90.0,bottom
C7,100nF,Passive_0402_1005Metric,72.74445,-103.0682,90.0,bottom
C8,100nF,Passive_0402_1005Metric,83.32,-105.664,0.0,bottom
C9,100nF,Passive_0402_1005Metric,76.91465,-103.0554,90.0,bottom
C10,1uf,Passive_0402_1005Metric,77.95605,-103.0554,90.0,bottom
C11,10uf,Passive_0402_1005Metric,75.96,-114.86,180.0,bottom
CF1,100nF,Passive_0402_1005Metric,75.74,-86.95,90.0,bottom
CP1,100nF,Passive_0402_1005Metric,79.502,-77.978,-90.0,bottom
CP2,10uF,Passive_0402_1005Metric,79.375,-83.693,0.0,bottom
CX1,100nF,Passive_0402_1005Metric,75.95235,-115.951,180.0,bottom
CX2,100nF,Passive_0402_1005Metric,78.18755,-115.951,180.0,bottom
D1,1N4148W-T4,D_SOD-523,40.48125,-78.04,90.0,bottom
D2,1N4148W-T4,D_SOD-523,59.53125,-78.04,90.0,bottom
D3,1N4148W-T4,D_SOD-523,88.10625,-78.04,90.0,bottom
D4,1N4148W-T4,D_SOD-523,107.15625,-78.04,90.0,bottom
D5,1N4148W-T4,D_SOD-523,126.20625,-78.04,90.0,bottom
D6,1N4148W-T4,D_SOD-523,145.25625,-78.04,90.0,bottom
D7,1N4148W-T4,D_SOD-523,164.30625,-78.04,90.0,bottom
D8,1N4148W-T4,D_SOD-523,183.35625,-78.04,90.0,bottom
D9,1N4148W-T4,D_SOD-523,202.40625,-78.04,90.0,bottom
D10,1N4148W-T4,D_SOD-523,221.45625,-78.04,90.0,bottom
D11,1N4148W-T4,D_SOD-523,40.48125,-97.09,90.0,bottom
D12,1N4148W-T4,D_SOD-523,59.53125,-97.09,90.0,bottom
D13,1N4148W-T4,D_SOD-523,88.10625,-97.09,90.0,bottom
D14,1N4148W-T4,D_SOD-523,107.15625,-97.09,90.0,bottom
